Nom	Prénom	Code_Joueur	Code_Temoin
		Cigogne-Bricoleur-101	Coyote-Éveillé-101
		Ibex-Calme-102	Macaque-Savoyard-102
		Ours-Clairvoyant-103	Loris-Protecteur-103
		Raton-Malin-104	Coyote-Curieux-104
		Hocco-Calme-105	Flamant-Positif-105
		Coyote-Inspiré-106	Dhole-Clairvoyant-106
		Faucon-Calme-107	Colibri-Protecteur-107
		Manchot-Zélé-108	Gecko-Attentif-108
		Zèbre-Serein-109	Hibou-Éveillé-109
		Guépard-Responsable-110	Gecko-Joyeux-110
		Takin-Curieux-111	Dauphin-Savoyard-111
		Girafe-Créatif-112	Marmotte-Patient-112
		Lamantin-Malin-113	Mouette-Courageux-113
		Chinchilla-Bricoleur-114	Dauphin-Curieux-114
		Suricate-Optimiste-115	Mangouste-Rigoureux-115
		Hérisson-Éthique-116	Canard-Explorateur-116
		Antilope-Zen-117	Wallaby-Calme-117
		Varan-Optimiste-118	Babouin-Calme-118
		Lama-Savoyard-119	Dauphin-Éveillé-119
		Chamois-Éthique-120	Saïga-Éthique-120
		Girafe-Responsable-121	Dingo-Éveillé-121
		Zèbre-Zen-122	Marmotte-Attentif-122
		Chinchilla-Solidaire-123	Saïga-Courageux-123
		Dauphin-Éveillé-124	Cigogne-Inspiré-124
		Narval-Vigilant-125	Putois-Bondissant-125
		Marabout-Malin-126	Lamantin-Vigilant-126
		Cerf-Éveillé-127	Serval-Responsable-127
		Vautour-Amical-128	Walrus-Vigilant-128
		Hocco-Rayonnant-129	Panthère-Courageux-129
		Sitatunga-Patient-130	Macaque-Solidaire-130
		Bouvreuil-Inspiré-131	Chinchilla-Patient-131
		Bouvreuil-Protecteur-132	Raton-Protecteur-132
		Cerf-Éthique-133	Narval-Gentil-133
		Jaguar-Rayonnant-134	Loris-Bondissant-134
		Lama-Bricoleur-135	Guépard-Attentif-135
		Pélican-Serein-136	Cheval-Zen-136
		Pingouin-Juste-137	Cheval-Courageux-137
		Gorille-Patient-138	Suricate-Zélé-138
		Lion-Bricoleur-139	Lion-Clairvoyant-139
		Iguane-Éveillé-140	Varan-Joyeux-140
		Élan-Optimiste-141	Bison-Attentif-141
		Chamois-Zélé-142	Mésange-Patient-142
		Flamant-Dynamique-143	Flamant-Savoyard-143
		Morse-Intègre-144	Putois-Persévérant-144
		Marmotte-Explorateur-145	Guépard-Éthique-145
		Gecko-Attentif-146	Koala-Équilibré-146
		Hibiscus-Zélé-147	Cheval-Vigilant-147
		Husky-Rieuse-148	Élan-Éthique-148
		Walrus-Intègre-149	Condor-Bondissant-149
		Condor-Amical-150	Babouin-Curieux-150
		Mouette-Rayonnant-151	Hippocampe-Zen-151
		Gecko-Clairvoyant-152	Varan-Gentil-152
		Harfang-Loyal-153	Suricate-Attentif-153
		Langur-Équilibré-154	Morse-Positif-154
		Raton-Responsable-155	Koala-Explorateur-155
		Blaireau-Intègre-156	Cerf-Éthique-156
		Léopard-Équilibré-157	Colibri-Bricoleur-157
		Ibex-Calme-158	Serval-Joyeux-158
		Orque-Protecteur-159	Suricate-Calme-159
		Phoque-Calme-160	Axolotl-Zen-160
		Antilope-Bondissant-161	Marabout-Zen-161
		Bouquetin-Malin-162	Lama-Joyeux-162
		Quokka-Persévérant-163	Condor-Éveillé-163
		Dingo-Rayonnant-164	Hocco-Clairvoyant-164
		Harfang-Amical-165	Canard-Loyal-165
		Ibex-Loyal-166	Lamantin-Fiable-166
		Kudu-Savoyard-167	Gnou-Serein-167
		Girafe-Serein-168	Écureuil-Courageux-168
		Lama-Bondissant-169	Ours-Savoyard-169
		Tapir-Honnête-170	Mouette-Joyeux-170
		Cachalot-Savoyard-171	Ibex-Explorateur-171
		Kudu-Clairvoyant-172	Colibri-Gentil-172
		Raton-Dynamique-173	Manchot-Courageux-173
		Ibex-Zen-174	Léopard-Inspiré-174
		Gnou-Bondissant-175	Toucan-Clairvoyant-175
		Putois-Zélé-176	Loris-Solidaire-176
		Fossa-Fiable-177	Husky-Loyal-177
		Hocco-Honnête-178	Bouquetin-Bondissant-178
		Fossa-Juste-179	Axolotl-Juste-179
		Langur-Courageux-180	Bongo-Serein-180
		Zèbre-Inspiré-181	Baleine-Rayonnant-181
		Guépard-Explorateur-182	Mouflon-Responsable-182
		Tapir-Protecteur-183	Hirondelle-Clairvoyant-183
		Tapir-Vigilant-184	Tapir-Bondissant-184
		Aigle-Loyal-185	Flamant-Équilibré-185
		Saïga-Bondissant-186	Jaguar-Curieux-186
		Fennec-Dynamique-187	Serval-Positif-187
		Serval-Solidaire-188	Cerf-Bricoleur-188
		Hérisson-Amical-189	Ibex-Protecteur-189
		Cheval-Malin-190	Singe-Curieux-190
		Faucon-Protecteur-191	Héron-Équilibré-191
		Chacal-Patient-192	Tarsier-Vigilant-192
		Condor-Patient-193	Panthère-Gentil-193
		Dingo-Intègre-194	Chamois-Vigilant-194
		Iguane-Zen-195	Caracal-Courageux-195
		Singe-Amical-196	Gnou-Zen-196
		Chinchilla-Responsable-197	Flamant-Patient-197
		Harfang-Créatif-198	Walrus-Zen-198
		Walrus-Solidaire-199	Renard-Optimiste-199
		Saïga-Discret-200	Mangouste-Clairvoyant-200
		Antilope-Intègre-201	Lapin-Équilibré-201
		Caracal-Inspiré-202	Gavial-Savoyard-202
		Walrus-Gentil-203	Langur-Bricoleur-203
		Hérisson-Savoyard-204	Bouvreuil-Inspiré-204
		Guépard-Éveillé-205	Bongo-Positif-205
		Tarsier-Joyeux-206	Tarsier-Patient-206
		Flamant-Rayonnant-207	Phoenix-Bondissant-207
		Loris-Serein-208	Mangouste-Éveillé-208
		Wallaby-Zélé-209	Loutre-Gentil-209
		Cigogne-Patient-210	Saïga-Discret-210
		Suricate-Serein-211	Tortue-Zélé-211
		Élan-Zen-212	Hérisson-Agile-212
		Koala-Malin-213	Mangouste-Éthique-213
		Aigle-Inspiré-214	Sitatunga-Serein-214
		Harfang-Malin-215	Caribou-Éthique-215
		Bouquetin-Malin-216	Bouquetin-Créatif-216
		Tarsier-Solidaire-217	Dingo-Savoyard-217
		Girafe-Inspiré-218	Hérisson-Fiable-218
		Singe-Agile-219	Condor-Attentif-219
		Cachalot-Dynamique-220	Walrus-Fiable-220
		Coyote-Dynamique-221	Hirondelle-Joyeux-221
		Caméléon-Fiable-222	Cachalot-Solidaire-222
		Tamarin-Attentif-223	Caméléon-Savoyard-223
		Dauphin-Malin-224	Alpaga-Loyal-224
		Narval-Explorateur-225	Hippocampe-Courageux-225
		Castor-Intègre-226	Lémurien-Calme-226
		Narval-Rieuse-227	Baleine-Explorateur-227
		Cerf-Joyeux-228	Manchot-Zen-228
		Varan-Éveillé-229	Castor-Persévérant-229
		Cerf-Clairvoyant-230	Loutre-Rieuse-230
		Élan-Patient-231	Rorqual-Protecteur-231
		Langur-Malin-232	Takin-Positif-232
		Bison-Créatif-233	Mouette-Vigilant-233
		Bison-Positif-234	Jaguar-Bricoleur-234
		Pingouin-Amical-235	Kudu-Patient-235
		Wallaby-Serein-236	Axolotl-Équilibré-236
		Lamantin-Clairvoyant-237	Lion-Explorateur-237
		Panda-Serein-238	Serval-Joyeux-238
		Singe-Vigilant-239	Baleine-Bricoleur-239
		Mésange-Intègre-240	Flamant-Intègre-240
		Dingo-Fiable-241	Lynx-Honnête-241
		Zèbre-Optimiste-242	Suricate-Gentil-242
		Kudu-Fiable-243	Dingo-Juste-243
		Ours-Dynamique-244	Lapin-Amical-244
		Gavial-Honnête-245	Suricate-Zélé-245
		Gavial-Optimiste-246	Tarsier-Serein-246
		Caméléon-Protecteur-247	Marmotte-Vigilant-247
		Perroquet-Discret-248	Léopard-Responsable-248
		Jaguar-Loyal-249	Pélican-Attentif-249
		Baleine-Curieux-250	Bongo-Persévérant-250
		Baleine-Rigoureux-251	Loutre-Curieux-251
		Hippocampe-Solidaire-252	Ours-Intègre-252
		Narval-Explorateur-253	Sitatunga-Rieuse-253
		Wallaby-Solidaire-254	Ocelot-Rigoureux-254
		Fennec-Zen-255	Chamois-Fiable-255
		Hérisson-Amical-256	Kudu-Juste-256
		Yak-Honnête-257	Ibex-Agile-257
		Toucan-Zélé-258	Bisonte-Savoyard-258
		Serpent-Serein-259	Narval-Dynamique-259
		Cachalot-Équilibré-260	Perroquet-Bondissant-260
		Tortue-Solidaire-261	Hibiscus-Bricoleur-261
		Chamois-Gentil-262	Cachalot-Courageux-262
		Dingo-Équilibré-263	Tortue-Positif-263
		Chacal-Discret-264	Lapin-Persévérant-264
		Raton-Inspiré-265	Colibri-Attentif-265
		Bouvreuil-Loyal-266	Colibri-Patient-266
		Iguane-Solidaire-267	Putois-Éveillé-267
		Varan-Équilibré-268	Husky-Solidaire-268
		Manchot-Discret-269	Quokka-Optimiste-269
		Condor-Éveillé-270	Loutre-Vigilant-270
		Bisonte-Clairvoyant-271	Babouin-Gentil-271
		Guépard-Calme-272	Pingouin-Agile-272
		Antilope-Responsable-273	Serval-Fiable-273
		Écureuil-Joyeux-274	Koala-Courageux-274
		Faucon-Bondissant-275	Tarsier-Fiable-275
		Pingouin-Protecteur-276	Zèbre-Rieuse-276
		Alpaga-Amical-277	Dauphin-Loyal-277
		Axolotl-Créatif-278	Gavial-Juste-278
		Alpaga-Fiable-279	Chinchilla-Clairvoyant-279
		Cachalot-Positif-280	Bisonte-Calme-280
		Husky-Calme-281	Tamarin-Serein-281
		Husky-Rieuse-282	Pingouin-Joyeux-282
		Dingo-Honnête-283	Mésange-Attentif-283
		Putois-Courageux-284	Hibiscus-Gentil-284
		Singe-Clairvoyant-285	Coyote-Honnête-285
		Phoque-Amical-286	Baleine-Rieuse-286
		Babouin-Serein-287	Macaque-Courageux-287
		Pudu-Bondissant-288	Langur-Juste-288
		Lynx-Responsable-289	Chamois-Vigilant-289
		Hibou-Juste-290	Manchot-Fiable-290
		Phoenix-Curieux-291	Ocelot-Rieuse-291
		Bouvreuil-Clairvoyant-292	Pangolin-Créatif-292
		Narval-Zen-293	Serpent-Malin-293
		Iguane-Rieuse-294	Ibex-Explorateur-294
		Putois-Rieuse-295	Singe-Agile-295
		Condor-Gentil-296	Ocelot-Bricoleur-296
		Héron-Responsable-297	Perroquet-Patient-297
		Varan-Éthique-298	Fossa-Positif-298
		Marmotte-Bricoleur-299	Serpent-Attentif-299
		Caribou-Savoyard-300	Aigle-Rieuse-300
		Caribou-Amical-301	Ours-Juste-301
		Panthère-Explorateur-302	Quokka-Protecteur-302
		Tigre-Solidaire-303	Takin-Intègre-303
		Fennec-Positif-304	Lamantin-Bricoleur-304
		Pélican-Amical-305	Caméléon-Malin-305
		Castor-Clairvoyant-306	Raton-Éthique-306
		Serval-Persévérant-307	Paresseux-Joyeux-307
		Caracal-Fiable-308	Lémurien-Rayonnant-308
		Takin-Serein-309	Panda-Courageux-309
		Antilope-Agile-310	Bison-Dynamique-310
		Mouette-Équilibré-311	Toucan-Éveillé-311
		Lapin-Clairvoyant-312	Serpent-Loyal-312
		Perroquet-Serein-313	Lémurien-Protecteur-313
		Tamarin-Vigilant-314	Alpaga-Solidaire-314
		Mangouste-Curieux-315	Manchot-Discret-315
		Ibex-Courageux-316	Héron-Rigoureux-316
		Dingo-Juste-317	Hibou-Rieuse-317
		Yak-Vigilant-318	Pudu-Rayonnant-318
		Hocco-Créatif-319	Cachalot-Patient-319
		Hibou-Éveillé-320	Walrus-Positif-320
		Zèbre-Éveillé-321	Tortue-Zélé-321
		Paon-Explorateur-322	Babouin-Solidaire-322
		Mésange-Fiable-323	Husky-Inspiré-323
		Gecko-Solidaire-324	Tigre-Loyal-324
		Paresseux-Rayonnant-325	Colibri-Rieuse-325
		Loris-Optimiste-326	Narval-Honnête-326
		Tigre-Solidaire-327	Caribou-Protecteur-327
		Renard-Loyal-328	Suricate-Équilibré-328
		Castor-Serein-329	Bouvreuil-Inspiré-329
		Loutre-Créatif-330	Zèbre-Courageux-330
		Tamarin-Intègre-331	Phoenix-Calme-331
		Cacatoès-Explorateur-332	Chacal-Bricoleur-332
		Bouvreuil-Clairvoyant-333	Gecko-Dynamique-333
		Kudu-Responsable-334	Hirondelle-Loyal-334
		Manchot-Protecteur-335	Gecko-Équilibré-335
		Cheval-Optimiste-336	Gnou-Explorateur-336
		Mouflon-Calme-337	Panda-Dynamique-337
		Gavial-Zélé-338	Antilope-Clairvoyant-338
		Harfang-Éveillé-339	Wallaby-Bondissant-339
		Suricate-Optimiste-340	Zèbre-Gentil-340
		Cigogne-Rayonnant-341	Takin-Zélé-341
		Canard-Optimiste-342	Ocelot-Loyal-342
		Léopard-Joyeux-343	Pudu-Bondissant-343
		Phoenix-Loyal-344	Élan-Zen-344
		Cerf-Rayonnant-345	Quokka-Amical-345
		Corbeau-Bondissant-346	Guépard-Agile-346
		Lamantin-Amical-347	Gavial-Curieux-347
		Ibex-Bricoleur-348	Tortue-Fiable-348
		Marmotte-Positif-349	Pélican-Rigoureux-349
		Narval-Équilibré-350	Dauphin-Discret-350
		Vautour-Discret-351	Gavial-Protecteur-351
		Raton-Intègre-352	Héron-Rigoureux-352
		Tapir-Rigoureux-353	Hirondelle-Savoyard-353
		Gecko-Responsable-354	Corbeau-Responsable-354
		Langur-Curieux-355	Saïga-Solidaire-355
		Rorqual-Inspiré-356	Quokka-Attentif-356
		Axolotl-Fiable-357	Colibri-Positif-357
		Ocelot-Optimiste-358	Okapi-Calme-358
		Bongo-Optimiste-359	Zèbre-Courageux-359
		Quokka-Calme-360	Langur-Protecteur-360
		Baleine-Explorateur-361	Raton-Bricoleur-361
		Koala-Calme-362	Paresseux-Agile-362
		Vautour-Éveillé-363	Lémurien-Agile-363
		Quokka-Bondissant-364	Fossa-Intègre-364
		Cheval-Amical-365	Hibiscus-Optimiste-365
		Léopard-Bricoleur-366	Perroquet-Intègre-366
		Zèbre-Honnête-367	Tamarin-Persévérant-367
		Koala-Rayonnant-368	Léopard-Curieux-368
		Cheval-Malin-369	Hérisson-Serein-369
		Hirondelle-Vigilant-370	Marmotte-Patient-370
		Coyote-Curieux-371	Marabout-Amical-371
		Phoque-Rieuse-372	Gecko-Éveillé-372
		Canard-Malin-373	Gecko-Dynamique-373
		Ocelot-Équilibré-374	Toucan-Discret-374
		Hibiscus-Éveillé-375	Pudu-Protecteur-375
		Bison-Rayonnant-376	Loris-Loyal-376
		Castor-Fiable-377	Loutre-Vigilant-377
		Dingo-Savoyard-378	Alpaga-Attentif-378
		Loutre-Fiable-379	Tigre-Rayonnant-379
		Bongo-Honnête-380	Hippocampe-Inspiré-380
		Okapi-Courageux-381	Loris-Vigilant-381
		Phoenix-Vigilant-382	Élan-Honnête-382
		Lama-Persévérant-383	Lémurien-Zélé-383
		Baleine-Clairvoyant-384	Perroquet-Fiable-384
		Pangolin-Explorateur-385	Paon-Éthique-385
		Singe-Rayonnant-386	Corbeau-Discret-386
		Gecko-Bondissant-387	Tarsier-Éveillé-387
		Suricate-Gentil-388	Bongo-Discret-388
		Walrus-Rayonnant-389	Cacatoès-Rieuse-389
		Corbeau-Positif-390	Cachalot-Solidaire-390
		Antilope-Attentif-391	Caribou-Inspiré-391
		Caracal-Inspiré-392	Écureuil-Curieux-392
		Narval-Bricoleur-393	Perroquet-Bricoleur-393
		Paresseux-Agile-394	Yak-Optimiste-394
		Jaguar-Éveillé-395	Faucon-Loyal-395
		Ocelot-Solidaire-396	Chamois-Inspiré-396
		Sitatunga-Juste-397	Kudu-Positif-397
		Jaguar-Gentil-398	Lama-Zen-398
		Manchot-Fiable-399	Hibou-Persévérant-399
		Tamarin-Zélé-400	Bongo-Intègre-400
		Putois-Protecteur-401	Aigle-Rayonnant-401
		Lama-Agile-402	Colibri-Clairvoyant-402
		Gazelle-Créatif-403	Loutre-Inspiré-403
		Gecko-Clairvoyant-404	Dauphin-Courageux-404
		Lynx-Explorateur-405	Zèbre-Solidaire-405
		Canard-Juste-406	Marabout-Fiable-406
		Wallaby-Vigilant-407	Bouvreuil-Loyal-407
		Antilope-Juste-408	Pingouin-Agile-408
		Yak-Malin-409	Harfang-Persévérant-409
		Phoque-Joyeux-410	Morse-Savoyard-410
		Morse-Discret-411	Gnou-Équilibré-411
		Vautour-Courageux-412	Caracal-Agile-412
		Écureuil-Agile-413	Quokka-Loyal-413
		Caméléon-Patient-414	Hibou-Rigoureux-414
		Tigre-Honnête-415	Toucan-Curieux-415
		Alpaga-Joyeux-416	Alpaga-Clairvoyant-416
		Dauphin-Vigilant-417	Corbeau-Rayonnant-417
		Morse-Clairvoyant-418	Okapi-Rigoureux-418
		Serval-Solidaire-419	Corbeau-Optimiste-419
		Marabout-Curieux-420	Bison-Savoyard-420
		Gecko-Savoyard-421	Léopard-Attentif-421
		Tigre-Intègre-422	Bouquetin-Rieuse-422
		Wallaby-Vigilant-423	Pélican-Bondissant-423
		Mouflon-Créatif-424	Renard-Serein-424
		Sitatunga-Solidaire-425	Gorille-Fiable-425
		Héron-Dynamique-426	Fossa-Dynamique-426
		Babouin-Rigoureux-427	Morse-Juste-427
		Singe-Solidaire-428	Yak-Protecteur-428
		Sitatunga-Calme-429	Perroquet-Patient-429
		Chamois-Patient-430	Dingo-Zélé-430
		Bouquetin-Courageux-431	Bouquetin-Optimiste-431
		Ours-Clairvoyant-432	Saïga-Zen-432
		Léopard-Créatif-433	Phoque-Intègre-433
		Cigogne-Serein-434	Tigre-Patient-434
		Chamois-Intègre-435	Dhole-Juste-435
		Alpaga-Loyal-436	Takin-Solidaire-436
		Dauphin-Amical-437	Girafe-Amical-437
		Mouflon-Optimiste-438	Orque-Honnête-438
		Manchot-Zélé-439	Héron-Bondissant-439
		Vautour-Positif-440	Bouvreuil-Rayonnant-440
		Mangouste-Optimiste-441	Serpent-Calme-441
		Marmotte-Créatif-442	Narval-Explorateur-442
		Singe-Patient-443	Ours-Gentil-443
		Corbeau-Savoyard-444	Bouquetin-Malin-444
		Caribou-Discret-445	Okapi-Protecteur-445
		Panda-Gentil-446	Loris-Optimiste-446
		Lynx-Fiable-447	Rorqual-Explorateur-447
		Harfang-Clairvoyant-448	Walrus-Éthique-448
		Gorille-Persévérant-449	Vautour-Éveillé-449
		Mangouste-Attentif-450	Phoenix-Loyal-450
		Lamantin-Optimiste-451	Bouvreuil-Joyeux-451
		Cachalot-Bricoleur-452	Perroquet-Zen-452
		Sitatunga-Calme-453	Lama-Honnête-453
		Fennec-Inspiré-454	Panda-Curieux-454
		Pélican-Honnête-455	Caracal-Patient-455
		Chinchilla-Bricoleur-456	Chamois-Éthique-456
		Ours-Patient-457	Aigle-Juste-457
		Lémurien-Éthique-458	Takin-Calme-458
		Ocelot-Rieuse-459	Singe-Inspiré-459
		Lynx-Rigoureux-460	Narval-Zen-460
		Cigogne-Courageux-461	Vautour-Intègre-461
		Toucan-Fiable-462	Élan-Gentil-462
		Wallaby-Malin-463	Gavial-Rayonnant-463
		Élan-Savoyard-464	Condor-Clairvoyant-464
		Macaque-Juste-465	Chamois-Éthique-465
		Dingo-Clairvoyant-466	Faucon-Protecteur-466
		Bouvreuil-Agile-467	Hérisson-Fiable-467
		Toucan-Savoyard-468	Mangouste-Rayonnant-468
		Lapin-Fiable-469	Manchot-Malin-469
		Tigre-Éthique-470	Hocco-Discret-470
		Léopard-Solidaire-471	Alpaga-Éthique-471
		Gnou-Éthique-472	Koala-Créatif-472
		Tapir-Honnête-473	Manchot-Explorateur-473
		Cacatoès-Courageux-474	Loris-Responsable-474
		Paresseux-Positif-475	Orque-Bondissant-475
		Caméléon-Joyeux-476	Ibex-Gentil-476
		Caméléon-Amical-477	Tarsier-Zen-477
		Mangouste-Inspiré-478	Tarsier-Protecteur-478
		Hocco-Calme-479	Loutre-Agile-479
		Caméléon-Positif-480	Axolotl-Éveillé-480
		Alpaga-Agile-481	Harfang-Clairvoyant-481
		Phoenix-Dynamique-482	Élan-Rieuse-482
		Harfang-Zélé-483	Girafe-Solidaire-483
		Phoque-Vigilant-484	Orque-Dynamique-484
		Langur-Bondissant-485	Harfang-Fiable-485
		Gorille-Bricoleur-486	Bouvreuil-Zen-486
		Ocelot-Discret-487	Serpent-Éthique-487
		Jaguar-Protecteur-488	Takin-Discret-488
		Flamant-Calme-489	Lapin-Malin-489
		Mouette-Équilibré-490	Gavial-Courageux-490
		Paresseux-Rieuse-491	Tapir-Loyal-491
		Fennec-Honnête-492	Raton-Savoyard-492
		Husky-Discret-493	Quokka-Curieux-493
		Lynx-Positif-494	Sitatunga-Zen-494
		Harfang-Éveillé-495	Singe-Protecteur-495
		Suricate-Vigilant-496	Dauphin-Positif-496
		Gorille-Optimiste-497	Chamois-Persévérant-497
		Marmotte-Serein-498	Gnou-Bricoleur-498
		Alpaga-Inspiré-499	Mésange-Responsable-499
		Bison-Discret-500	Hérisson-Calme-500
		Écureuil-Joyeux-501	Lémurien-Courageux-501
		Cerf-Fiable-502	Mouette-Savoyard-502
		Chacal-Serein-503	Chacal-Patient-503
		Renard-Agile-504	Lion-Loyal-504
		Serval-Curieux-505	Mangouste-Curieux-505
		Loris-Serein-506	Gnou-Éthique-506
		Lamantin-Gentil-507	Tortue-Bondissant-507
		Phoque-Inspiré-508	Tortue-Joyeux-508
		Dingo-Bricoleur-509	Écureuil-Créatif-509
		Morse-Serein-510	Morse-Bondissant-510
		Bongo-Positif-511	Caribou-Créatif-511
		Takin-Amical-512	Flamant-Responsable-512
		Guépard-Loyal-513	Narval-Savoyard-513
		Castor-Inspiré-514	Renard-Bricoleur-514
		Gecko-Éveillé-515	Canard-Calme-515
		Lamantin-Serein-516	Fennec-Inspiré-516
		Varan-Rigoureux-517	Lapin-Inspiré-517
		Coyote-Positif-518	Baleine-Éveillé-518
		Coyote-Dynamique-519	Tamarin-Intègre-519
		Hibiscus-Joyeux-520	Castor-Zélé-520
		Pudu-Agile-521	Héron-Honnête-521
		Serval-Agile-522	Hirondelle-Rieuse-522
		Loris-Équilibré-523	Hocco-Juste-523
		Faucon-Courageux-524	Hibou-Attentif-524
		Renard-Intègre-525	Mésange-Vigilant-525
		Serpent-Amical-526	Cheval-Curieux-526
		Hérisson-Bondissant-527	Guépard-Attentif-527
		Iguane-Rigoureux-528	Pangolin-Curieux-528
		Tamarin-Discret-529	Baleine-Serein-529
		Husky-Positif-530	Léopard-Fiable-530
		Tamarin-Responsable-531	Iguane-Persévérant-531
		Élan-Créatif-532	Bison-Bricoleur-532
		Bongo-Protecteur-533	Husky-Équilibré-533
		Dingo-Intègre-534	Wallaby-Calme-534
		Panthère-Positif-535	Tapir-Zélé-535
		Tarsier-Intègre-536	Hocco-Gentil-536
		Gecko-Patient-537	Mouflon-Vigilant-537
		Cacatoès-Zélé-538	Yak-Serein-538
		Rorqual-Gentil-539	Dauphin-Clairvoyant-539
		Antilope-Calme-540	Flamant-Inspiré-540
		Mangouste-Créatif-541	Quokka-Honnête-541
		Lama-Malin-542	Bison-Rieuse-542
		Chamois-Zen-543	Lama-Vigilant-543
		Canard-Serein-544	Canard-Honnête-544
		Antilope-Fiable-545	Mouflon-Bricoleur-545
		Cerf-Rieuse-546	Lynx-Attentif-546
		Cachalot-Rigoureux-547	Chamois-Éthique-547
		Loris-Serein-548	Fennec-Savoyard-548
		Ibex-Serein-549	Phoque-Honnête-549
		Gorille-Curieux-550	Panthère-Intègre-550
		Bouvreuil-Joyeux-551	Narval-Joyeux-551
		Serpent-Attentif-552	Quokka-Persévérant-552
		Cigogne-Bricoleur-553	Gorille-Persévérant-553
		Kudu-Créatif-554	Castor-Agile-554
		Condor-Savoyard-555	Sitatunga-Patient-555
		Dhole-Dynamique-556	Marmotte-Agile-556
		Gecko-Zen-557	Rorqual-Rayonnant-557
		Perroquet-Amical-558	Gecko-Protecteur-558
		Colibri-Amical-559	Paresseux-Rigoureux-559
		Lynx-Vigilant-560	Guépard-Discret-560
		Serval-Loyal-561	Léopard-Intègre-561
		Pélican-Éveillé-562	Phoque-Bondissant-562
		Girafe-Persévérant-563	Quokka-Intègre-563
		Perroquet-Discret-564	Okapi-Bondissant-564
		Renard-Optimiste-565	Quokka-Curieux-565
		Lapin-Positif-566	Flamant-Juste-566
		Perroquet-Protecteur-567	Suricate-Malin-567
		Colibri-Amical-568	Toucan-Explorateur-568
		Lynx-Positif-569	Ocelot-Persévérant-569
		Guépard-Bondissant-570	Colibri-Savoyard-570
		Lamantin-Joyeux-571	Blaireau-Curieux-571
		Flamant-Dynamique-572	Wallaby-Solidaire-572
		Antilope-Discret-573	Léopard-Équilibré-573
		Paon-Rigoureux-574	Saïga-Éthique-574
		Renard-Optimiste-575	Pingouin-Fiable-575
		Serpent-Joyeux-576	Ours-Positif-576
		Pangolin-Joyeux-577	Serval-Joyeux-577
		Gnou-Inspiré-578	Ours-Juste-578
		Bongo-Patient-579	Mésange-Positif-579
		Morse-Agile-580	Loutre-Curieux-580
		Aigle-Agile-581	Hibiscus-Créatif-581
		Caribou-Honnête-582	Harfang-Positif-582
		Antilope-Curieux-583	Caribou-Inspiré-583
		Dauphin-Joyeux-584	Hippocampe-Gentil-584
		Dingo-Équilibré-585	Loris-Serein-585
		Jaguar-Éthique-586	Orque-Éthique-586
		Caribou-Dynamique-587	Hocco-Joyeux-587
		Varan-Rayonnant-588	Kudu-Calme-588
		Macaque-Agile-589	Quokka-Optimiste-589
		Fennec-Savoyard-590	Flamant-Clairvoyant-590
		Mangouste-Équilibré-591	Okapi-Joyeux-591
		Walrus-Rigoureux-592	Harfang-Positif-592
		Dauphin-Agile-593	Saïga-Dynamique-593
		Mangouste-Rigoureux-594	Lamantin-Attentif-594
		Mésange-Discret-595	Wallaby-Fiable-595
		Panda-Solidaire-596	Léopard-Rigoureux-596
		Bongo-Discret-597	Marabout-Clairvoyant-597
		Condor-Intègre-598	Lamantin-Loyal-598
		Bouquetin-Explorateur-599	Renard-Amical-599
		Léopard-Courageux-600	Varan-Optimiste-600
